"mz"	"mzmin"	"mzmax"	"rt"	"rtmin"	"rtmax"	"npeaks"	"."	"IL_161213_6301"	"IL_161213_6302"	"isotopes"	"adduct"	"pcgroup"
63.024898109826	63.024898109826	63.024898109826	1190.6065133748	1190.6065133748	1190.6065133748	1	1	19.2311997218049	84.4907755875829	""	""	"1"
63.0116913088325	63.0116913088325	63.0116913088325	1037.92101917789	1037.92101917789	1037.92101917789	1	1	16.8249999262543	60.7509773913937	""	""	"4"
64.0178134821928	64.0178134821928	64.0178134821928	2273.19389999121	2273.19389999121	2273.19389999121	1	1	75.1924301889482	31.9809289229632	""	""	"39"
65.0036199839774	65.0036199839774	65.0036199839774	1190.6065133748	1190.6065133748	1190.6065133748	1	1	12.0195353844238	183.717788447445	""	""	"1"
65.002930303126	65.002930303126	65.002930303126	1037.92101917789	1037.92101917789	1037.92101917789	1	1	16.8249999262543	149.040184464933	""	""	"4"
65.0132539675459	65.0117085058718	65.0147994292201	2274.23920165671	2273.19389999121	2275.28450332222	2	2	576.504159215123	137.892360097718	""	""	"16"
66.0087254205378	66.007940939253	66.0095099018225	2274.23955511813	2274.16425848206	2274.3148517542	2	2	331.317631333844	88.3129632383909	""	""	"16"
67.0150976670342	67.0150976670342	67.0150976670342	2273.19389999121	2273.19389999121	2273.19389999121	1	1	72.3480205202676	30.7515772764856	""	""	"39"
68.0220818802999	68.0220818802999	68.0220818802999	2274.3148517542	2274.3148517542	2274.3148517542	1	1	46.3069337441067	20.9110725480102	""	""	"16"
69.0117615367016	69.0117615367016	69.0117615367016	2276.10001929838	2276.10001929838	2276.10001929838	1	1	63.8439896350687	25.3827683926685	""	""	"16"
72.0115211142063	72.0115211142063	72.0115211142063	145.81028342179	145.81028342179	145.81028342179	1	1	67.9685511039719	5.97879818316149	""	""	"37"
74.0247457197797	74.0247457197797	74.0247457197797	253.269963093555	253.269963093555	253.269963093555	1	1	191.914163492745	27.6403364950417	""	""	"14"
77.0146839367439	77.0146839367439	77.0146839367439	2273.19389999121	2273.19389999121	2273.19389999121	1	1	69.3475108231328	22.0622442070518	""	""	"39"
79.0168383973304	79.0168383973304	79.0168383973304	2274.3148517542	2274.3148517542	2274.3148517542	1	1	53.8227316077841	17.2208832748319	""	""	"16"
81.0418143773462	81.0418143773462	81.0418143773462	2273.19389999121	2273.19389999121	2273.19389999121	1	1	101.97703493313	30.6418696060014	""	""	"39"
82.03741507108	82.034014321756	82.0408158204039	2274.79967753821	2274.3148517542	2275.28450332222	2	2	234.713773376663	61.600215432434	""	""	"16"
83.0098778577836	83.0098778577836	83.0098778577836	1037.92101917789	1037.92101917789	1037.92101917789	1	1	24.0357153121492	91.0974742526845	""	""	"4"
83.0118460656432	83.0118460656432	83.0118460656432	1191.72526163769	1191.72526163769	1191.72526163769	1	1	26.4429801096202	134.227271840822	""	""	"1"
83.0244060255633	83.0244060255633	83.0244060255633	2274.3148517542	2274.3148517542	2274.3148517542	1	1	110.280335483201	23.2878211775891	""	""	"16"
83.9854623952151	83.9854623952151	83.9854623952151	2167.89829474284	2167.89829474284	2167.89829474284	1	1	125.45619371067	81.63081833459	""	""	"29"
84.0001090908675	84.0001090908675	84.0001090908675	2246.0789510168	2246.0789510168	2246.0789510168	1	1	105.792909023316	26.1239314544152	""	""	"82"
84.0020778585641	84.0020778585641	84.0020778585641	2167.44260062519	2167.44260062519	2167.44260062519	1	1	127.408968951917	80.6180030254727	""	""	"29"
85.0274260039303	85.0274260039303	85.0274260039303	322.729840649502	322.729840649502	322.729840649502	1	1	29.9591958798588	206.935805784439	""	""	"11"
87.0012819629774	87.0012819629774	87.0012819629774	322.729840649502	322.729840649502	322.729840649502	1	1	15.6199456458131	40.7491597281998	""	""	"11"
89.0146843002232	89.0146098257584	89.0147587746881	2273.67907923664	2273.19389999121	2274.16425848206	2	2	349.621268800957	145.612252409973	""	""	"16"
90.0097764063133	90.0096368507928	90.0099159618338	2272.22822930859	2271.26255862597	2273.19389999121	2	2	537.739358309836	149.205926482176	""	""	"39"
92.0235756357555	92.022567683966	92.0245835875451	2274.23920165671	2273.19389999121	2275.28450332222	2	2	224.988774493395	80.249573988511	""	""	"16"
93.0103562675651	93.0103562675651	93.0103562675651	2274.3148517542	2274.3148517542	2274.3148517542	1	1	73.116447541006	21.9906554914677	""	""	"16"
93.0302455593036	93.0253065967972	93.0351845218099	1190.29180264285	1189.97709191091	1190.6065133748	2	2	128.997997771096	92.3811290947051	""	""	"1"
93.0242612791215	93.0242612791215	93.0242612791215	507.021288385138	507.021288385138	507.021288385138	1	1	16.8246816508838	46.7492145762662	""	""	"10"
93.030396522297	93.030396522297	93.030396522297	604.863860580826	604.863860580826	604.863860580826	1	1	19.9492501625576	236.481317686724	""	""	"6"
93.0296248702951	93.0296248702951	93.0296248702951	323.849942497743	323.849942497743	323.849942497743	1	1	20.4260838991509	93.0080188716992	""	""	"11"
94.020110923585	94.020110923585	94.020110923585	2273.19389999121	2273.19389999121	2273.19389999121	1	1	57.4472516641633	22.0621464395204	""	""	"39"
96.0508309351131	96.0508309351131	96.0508309351131	2274.3148517542	2274.3148517542	2274.3148517542	1	1	50.2757483972924	25.8313272290803	""	""	"16"
96.9611492571768	96.9611492571768	96.9611492571768	1768.54063519529	1768.54063519529	1768.54063519529	1	1	40.7691010458946	96.7078484080478	""	""	"19"
96.9642450667205	96.9642450667205	96.9642450667205	1954.90274834469	1954.90274834469	1954.90274834469	1	1	29.9092035950808	83.1055696273941	""	""	"99"
102.003641260822	102.003641260822	102.003641260822	2273.19389999121	2273.19389999121	2273.19389999121	1	1	169.208618055761	39.6413639355955	""	""	"39"
102.948661238718	102.948661238718	102.948661238718	68.3530517827298	68.3530517827298	68.3530517827298	1	1	217.290625639438	101.721482487141	""	""	"56"
103.025728175906	103.025728175906	103.025728175906	148.051024099757	148.051024099757	148.051024099757	1	1	122.681544918116	31.9996856097654	""	""	"37"
103.027504695326	103.027504695326	103.027504695326	2252.68670804947	2252.68670804947	2252.68670804947	1	1	197.811491607916	281.082341332446	""	""	"38"
103.05953087543	103.05953087543	103.05953087543	1058.77826711851	1058.77826711851	1058.77826711851	1	1	85.0838465320079	26.4377241314368	""	""	"66"
104.026920704179	104.026519057289	104.027322351068	2274.79875902198	2273.19389999121	2276.40361805276	2	2	126.96645820318	50.2757472424789	""	""	"16"
105.043805749673	105.042587696442	105.045023802904	2274.79967753821	2274.3148517542	2275.28450332222	2	2	227.258416143754	67.2232808204527	""	""	"16"
106.040981893499	106.040618110763	106.041345676235	2276.81091451896	2276.10001929838	2277.52180973953	2	2	4359.30994177193	827.907328814039	"[131][M]3+"	""	"16"
106.449503565982	106.449503565982	106.449503565982	2274.3148517542	2274.3148517542	2274.3148517542	1	1	50.5970063936611	29.4170756057729	"[131][M+1]3+"	""	"16"
106.741719377265	106.741719377265	106.741719377265	2274.3148517542	2274.3148517542	2274.3148517542	1	1	67.4862451467197	28.2914534111991	"[131][M+2]3+"	""	"16"
107.009153057327	107.009153057327	107.009153057327	1241.42776446015	1241.42776446015	1241.42776446015	1	1	15.7853934274802	83.915924355897	""	""	"3"
107.014299745424	107.014299745424	107.014299745424	1039.04118673217	1039.04118673217	1039.04118673217	1	1	36.4201539313194	337.457506102834	""	""	"4"
107.013057713834	107.013057713834	107.013057713834	1191.72526163769	1191.72526163769	1191.72526163769	1	1	51.3590210484709	428.972043435595	""	""	"1"
107.038020755042	107.037450589202	107.038590920882	2276.25181867557	2276.10001929838	2276.40361805276	2	2	904.145019000147	254.483008249782	"[131][M+3]3+"	""	"16"
107.232196560753	107.232196560753	107.232196560753	2273.19389999121	2273.19389999121	2273.19389999121	1	1	52.9945666191452	18.325473013277	""	""	"39"
107.54830066348	107.54830066348	107.54830066348	2276.10001929838	2276.10001929838	2276.10001929838	1	1	45.2225684144176	24.5142310181818	"[131][M+4]2+"	""	"16"
108.047086860607	108.047086860607	108.047086860607	2274.3148517542	2274.3148517542	2274.3148517542	1	1	153.07251631707	48.8679280354053	"[131][M+4]2+"	""	"16"
109.01900391147	109.01900391147	109.01900391147	1038.4056069369	1038.4056069369	1038.4056069369	1	1	47.7328912374755	50.4869047604631	""	""	"4"
109.042467772088	109.042467772088	109.042467772088	2274.3148517542	2274.3148517542	2274.3148517542	1	1	146.474581979039	41.6729468657537	""	""	"16"
110.02968589287	110.02968589287	110.02968589287	2276.10001929838	2276.10001929838	2276.10001929838	1	1	149.572622278409	34.4417688664962	""	""	"16"
111.040148851719	111.040148851719	111.040148851719	323.849942497743	323.849942497743	323.849942497743	1	1	21.627618179598	49.1386932773561	""	""	"11"
112.986619009289	112.986619009289	112.986619009289	2250.56312802432	2250.56312802432	2250.56312802432	1	1	343.812494878415	16.9580693086331	""	""	"82"
114.009107074679	114.008932044271	114.009282105088	2272.22822930859	2271.26255862597	2273.19389999121	2	2	248.151040467174	168.265899973672	""	""	"39"
115.007135218187	115.007135218187	115.007135218187	2272.07409380823	2272.07409380823	2272.07409380823	1	1	265.70528415168	134.290266270334	""	""	"39"
115.030661686684	115.030661686684	115.030661686684	2272.38073825372	2272.38073825372	2272.38073825372	1	1	206.544647142465	97.6013483144131	""	""	"39"
116.023405906238	116.022353414162	116.024458398315	2272.78731912247	2272.38073825372	2273.19389999121	2	2	571.392483347524	150.674594825184	""	""	"39"
116.050279261405	116.050211437768	116.050347085043	252.391038423732	252.149085762952	252.632991084512	2	2	426.990901639424	165.456083101869	""	""	"14"
116.929609270253	116.929609270253	116.929609270253	2114.78884313216	2114.78884313216	2114.78884313216	1	1	2042.86012370372	728.7577539993	""	""	"42"
117.026655680725	117.0226152549	117.03069610655	2272.22741603098	2272.07409380823	2272.38073825372	2	2	371.413199545112	61.1140912453107	""	""	"39"
117.035088972533	117.035088972533	117.035088972533	509.262473115129	509.262473115129	509.262473115129	1	1	14.4217499926384	52.7427046086554	""	""	"10"
117.034431002274	117.034431002274	117.034431002274	1239.18756620518	1239.18756620518	1239.18756620518	1	1	10.8215730995061	80.316284184051	""	""	"3"
117.048775469509	117.048775469509	117.048775469509	253.269963093555	253.269963093555	253.269963093555	1	1	56.7307264161474	27.5664670383961	""	""	"14"
118.041029490139	118.040404235153	118.041654745125	2275.35923490348	2274.3148517542	2276.40361805276	2	2	872.4736342173	200.645960978816	""	""	"16"
119.042338089353	119.04103066496	119.043645513745	2275.35923490348	2274.3148517542	2276.40361805276	2	2	271.013750119733	105.271299500053	""	""	"16"
119.0490017989	119.04881335057	119.04919024723	1191.41126752712	1191.09727341654	1191.72526163769	2	2	157.931219980362	891.695144103256	""	""	"1"
119.050307380339	119.050258103899	119.050356656779	507.872952545635	507.604539325488	508.141365765782	2	2	3254.38547460817	1059.4634723199	"[102][M]3+"	""	"10"
119.467333298771	119.467333298771	119.467333298771	508.724410463418	508.724410463418	508.724410463418	1	1	35.6936597838025	18.0297658107029	"[102][M+1]3+"	""	"10"
119.724291615794	119.724291615794	119.724291615794	508.724410463418	508.724410463418	508.724410463418	1	1	49.2326259108008	29.525844650093	"[102][M+2]3+"	""	"10"
120.053170592815	120.053024603586	120.053316582044	507.872952545635	507.604539325488	508.141365765782	2	2	341.553153664985	117.788373346155	"[102][M+3]3+"	""	"10"
120.05499403953	120.054626619479	120.05536145958	2275.91833074687	2274.3148517542	2277.52180973953	2	2	487.58359558629	151.371662124088	""	""	"16"
120.04931566634	120.04931566634	120.04931566634	1191.72526163769	1191.72526163769	1191.72526163769	1	1	25.2410265711778	111.121452426804	""	""	"1"
120.525720253392	120.525720253392	120.525720253392	507.604539325488	507.604539325488	507.604539325488	1	1	34.116936003368	15.5844813241233	"[102][M+4]2+"	""	"10"
121.022718296015	121.020156129736	121.025280462294	689.891857997319	689.607597289827	690.176118704812	2	2	87.5085727092223	116.53408812325	""	""	"109"
121.028935263388	121.028935263388	121.028935263388	603.743788671994	603.743788671994	603.743788671994	1	1	24.030342931195	443.959727971274	""	""	"6"
121.028265043441	121.028265043441	121.028265043441	1037.92101917789	1037.92101917789	1037.92101917789	1	1	10.7870058006741	156.639578796977	""	""	"4"
121.051558285779	121.051438036717	121.051678534842	2275.35923490348	2274.3148517542	2276.40361805276	2	2	914.660574221141	284.596186234829	""	""	"16"
122.035814762175	122.035814762175	122.035814762175	603.743788671994	603.743788671994	603.743788671994	1	1	8.43545213989454	57.6801634120638	""	""	"6"
122.041873066288	122.040979649346	122.042766483231	2276.25181867557	2276.10001929838	2276.40361805276	2	2	166.05230798548	52.5576923736757	""	""	"16"
123.046179190952	123.046179190952	123.046179190952	2274.3148517542	2274.3148517542	2274.3148517542	1	1	101.02363467927	37.9959214972641	""	""	"16"
124.048065150522	124.048065150522	124.048065150522	2273.19389999121	2273.19389999121	2273.19389999121	1	1	124.460526404886	36.9010739727552	""	""	"39"
126.013138209196	126.013138209196	126.013138209196	2273.19389999121	2273.19389999121	2273.19389999121	1	1	77.1419540631045	34.4410026062496	""	""	"39"
127.019302671782	127.019302671782	127.019302671782	2273.19389999121	2273.19389999121	2273.19389999121	1	1	58.8330856870328	43.1459479757761	""	""	"39"
127.033875268572	127.033875268572	127.033875268572	322.729840649502	322.729840649502	322.729840649502	1	1	21.5706194083618	99.3050673327389	""	""	"11"
