"mz"	"mzmin"	"mzmax"	"rt"	"rtmin"	"rtmax"	"npeaks"	"netCDF_b1"	"IL_130512_1001"	"IL_130512_1002"	"isotopes"	"adduct"	"pcgroup"
130.040731035624	130.040722919961	130.040739151288	2269.33321509007	2269.25536842504	2269.41106175511	2	2	1346.27598937514	408.716183675351	""	"[M-H-NH3]- 148.08"	"37"
131.036739898763	131.036569200483	131.036910597044	2269.89367096568	2269.25536842504	2270.53197350632	2	2	1879.09285096881	494.739517234848	""	"[M-H-CH4]- 148.08"	"37"
132.056277569378	132.05623178086	132.056323357896	2269.89378170244	2269.41106175511	2270.37650164977	2	2	979.868841440139	345.23785649857	""	"[M-H-CH3]- 148.08"	"37"
133.052394330515	133.052394330515	133.052394330515	2270.37650164977	2270.37650164977	2270.37650164977	1	1	745.667576258579	260.77193912727	""	"[M-H-CH2]- 148.08"	"37"
134.037885088795	134.037885088795	134.037885088795	1163.87740634558	1163.87740634558	1163.87740634558	1	1	10.8147641065596	664.628073023738	""	""	"479"
135.008998108927	135.008998108927	135.008998108927	865.529614690913	865.529614690913	865.529614690913	1	1	7.21162033065962	1241.70450139827	""	""	"335"
141.020653182206	141.020653182206	141.020653182206	2269.25536842504	2269.25536842504	2269.25536842504	1	1	455.276419760739	192.256342528611	""	""	"37"
143.037735144661	143.037735144661	143.037735144661	2269.25536842504	2269.25536842504	2269.25536842504	1	1	768.053038311424	325.549875053656	""	""	"37"
143.034976065133	143.034976065133	143.034976065133	1687.84905625218	1687.84905625218	1687.84905625218	1	1	126.709079212764	378.22064036389	""	""	"316"
145.051793543356	145.051793543356	145.051793543356	2270.37650164977	2270.37650164977	2270.37650164977	1	1	2110.55328855792	424.904194746477	""	""	"37"
146.071945149565	146.071945149565	146.071945149565	2271.49649249982	2271.49649249982	2271.49649249982	1	1	197.959444028966	150.704401691961	""	""	"430"
147.068033387404	147.068033387404	147.068033387404	2270.37650164977	2270.37650164977	2270.37650164977	1	1	809.703751436609	232.992640052934	""	"[M-H]- 148.08"	"37"
147.066700590522	147.066700590522	147.066700590522	115.033211950359	115.033211950359	115.033211950359	1	1	1224.13670177277	43.6130880237283	""	""	"105"
147.06692143168	147.06692143168	147.06692143168	455.412594399894	455.412594399894	455.412594399894	1	1	413.328818686589	93.4633650004757	""	""	"165"
148.058877905935	148.058877905935	148.058877905935	2270.37650164977	2270.37650164977	2270.37650164977	1	1	455.674931787479	137.570995079668	""	""	"37"
149.010316898153	149.009321005264	149.011312791042	2243.92283866774	2243.4423734976	2244.40330383787	2	2	276.968870544434	388.482387572149	""	"[M-H]- 150.019 [2M-3H]3- 225.034"	"1"
149.010507734256	149.010356010169	149.010659458343	2135.90591734309	2135.81433392933	2135.99750075685	2	2	278.359091909985	279.862989462126	""	"[M-H-CH4]- 166.049"	"90"
149.010143494243	149.009623617386	149.010663371099	2198.13697074107	2195.81180545785	2200.46213602429	2	2	777.811924635898	1181.84345737507	""	"[M-H-CH4]- 166.049"	"44"
149.061121626137	149.061121626137	149.061121626137	1162.75767565845	1162.75767565845	1162.75767565845	1	1	59.1656381247761	393.613058895316	""	""	"295"
150.03329269319	150.032955163038	150.033630223342	1001.15319332518	993.767666524016	1008.53872012634	2	1	2.43871998957135	164.738685328727	""	""	"267"
