"mz"	"mzmin"	"mzmax"	"rt"	"rtmin"	"rtmax"	"npeaks"	"mix15"	"IL_221213_4801"	"IL_221213_4802"	"isotopes"	"adduct"	"pcgroup"
54.0281491610774	54.0281491610774	54.0281491610774	52.2077463683927	52.2077463683927	52.2077463683927	1	1	425.973139439188	88.5231020073246	""	""	"38"
54.0294886167878	54.0294886167878	54.0294886167878	2389.16073639787	2389.16073639787	2389.16073639787	1	1	553.835633111109	0	""	""	"6"
56.0443437224183	56.0443437224183	56.0443437224183	2272.40746395484	2272.40746395484	2272.40746395484	1	1	78.7219061549821	15.2999305760991	""	""	"14"
57.0037244991928	57.0037244991928	57.0037244991928	1117.22610688107	1117.22610688107	1117.22610688107	1	1	51.1925222898241	27.0150135269675	""	""	"1"
57.0644763426978	57.0644763426978	57.0644763426978	1878.68902915694	1878.68902915694	1878.68902915694	1	1	77.7224109386242	22.4084585479679	""	""	"106"
59.0562883659369	59.0562883659369	59.0562883659369	2272.40746395484	2272.40746395484	2272.40746395484	1	1	193.95489076747	50.3237273168727	""	""	"14"
61.0148997039055	61.0148997039055	61.0148997039055	1117.22610688107	1117.22610688107	1117.22610688107	1	1	53.8217280398073	17.6699167626526	""	""	"1"
62.9297917886531	62.9297917886531	62.9297917886531	2251.04901368245	2251.04901368245	2251.04901368245	1	1	85.9902270309004	93.1238568009212	""	""	"31"
65.028977495954	65.028977495954	65.028977495954	1883.35040139056	1883.35040139056	1883.35040139056	1	1	68.9264479759427	145.316329255937	""	""	"5"
65.0564387003857	65.0562393189293	65.0566380818421	66.105268076867	65.9620026139605	66.2485335397735	2	2	35.742490206615	35.6561587389786	""	""	"128"
66.0299882031976	66.0298771542516	66.0300992521435	2388.03017798101	2386.959476808	2389.10087915401	2	2	339.449228078336	134.237863046292	""	""	"6"
66.0298940094402	66.0298940094402	66.0298940094402	14.4928258608186	14.4928258608186	14.4928258608186	1	1	538.085460430519	199.926551331341	""	""	"11"
66.0303515904256	66.0303515904256	66.0303515904256	2288.45863082221	2288.45863082221	2288.45863082221	1	1	739.831184542127	242.387978815357	""	""	"28"
67.0263273932874	67.025453690785	67.0272010957898	2387.47849682774	2386.959476808	2387.99751684748	2	2	3992.63997394231	147.857425299504	""	""	"6"
67.0254028032658	67.0254028032658	67.0254028032658	2285.14998133817	2285.14998133817	2285.14998133817	1	1	7630.20568931335	353.537337486087	""	""	"26"
67.0253025037563	67.0253025037563	67.0253025037563	15.6125025661984	15.6125025661984	15.6125025661984	1	1	5362.75391384432	258.834874446387	""	""	"11"
68.0453987337333	68.0449984588926	68.0457990085739	2387.47849682774	2386.959476808	2387.99751684748	2	2	1413.92352687777	210.580396775185	""	""	"6"
68.0454130530569	68.0454130530569	68.0454130530569	45.954607538873	45.954607538873	45.954607538873	1	1	1525.17962221596	389.303407250551	""	""	"95"
68.0452237844052	68.0452237844052	68.0452237844052	14.1781363995267	14.1781363995267	14.1781363995267	1	1	0	399.569595264399	""	""	"11"
