"mz"	"mzmin"	"mzmax"	"rt"	"rtmin"	"rtmax"	"npeaks"	"mix15"	"IL_221213_2601"	"IL_221213_2602"	"isotopes"	"adduct"	"pcgroup"
53.0192659863773	53.0192659863773	53.0192659863773	2273.88732033518	2273.88732033518	2273.88732033518	1	1	75.4582879500595	17.6745294234884	""	""	"16"
56.043366582051	56.043366582051	56.043366582051	2273.88732033518	2273.88732033518	2273.88732033518	1	1	99.9729158327619	16.5363425730814	""	""	"16"
57.0254162574235	57.0254162574235	57.0254162574235	1114.48192121562	1114.48192121562	1114.48192121562	1	1	52.8571978874866	35.9761048196461	""	""	"1"
57.0588466508318	57.0588466508318	57.0588466508318	2108.94280443725	2108.94280443725	2108.94280443725	1	1	81.3220569423605	37.6520283960545	""	""	"27"
57.0611463930192	57.0611463930192	57.0611463930192	1877.22730161169	1877.22730161169	1877.22730161169	1	1	112.920160452086	37.7831564503254	""	""	"3"
59.0564728340608	59.0564728340608	59.0564728340608	2273.88732033518	2273.88732033518	2273.88732033518	1	1	128.184323783673	34.5489048244503	""	""	"16"
61.0124712231645	61.0124712231645	61.0124712231645	1114.48192121562	1114.48192121562	1114.48192121562	1	1	93.6323519762664	29.8221751378207	""	""	"1"
65.0338032103372	65.0338032103372	65.0338032103372	1878.86186982848	1878.86186982848	1878.86186982848	1	1	108.125007318395	219.282598244555	""	""	"3"
65.0611617564946	65.0611617564946	65.0611617564946	66.7064837208485	66.7064837208485	66.7064837208485	1	1	39.0657688101717	29.5518826331877	""	""	"138"
66.0301584865605	66.0301584865605	66.0301584865605	49.3067928339935	49.3067928339935	49.3067928339935	1	1	743.207329881837	253.190945582854	""	""	"7"
66.0299923784376	66.0299923784376	66.0299923784376	2380.07226785083	2380.07226785083	2380.07226785083	1	1	425.846600094981	178.911232366174	""	""	"6"
66.0301584753777	66.0301584753777	66.0301584753777	2290.02544025505	2290.02544025505	2290.02544025505	1	1	477.051742798047	134.512413278737	""	""	"90"
67.0255170719447	67.0255170719447	67.0255170719447	48.2036253449254	48.2036253449254	48.2036253449254	1	1	6373.73429318689	272.692471211844	""	""	"7"
67.0255744693254	67.0255744693254	67.0255744693254	2383.36309397628	2383.36309397628	2383.36309397628	1	1	7857.91221020278	427.501141572905	""	""	"6"
67.0253506157925	67.0253506157925	67.0253506157925	2284.50245142594	2284.50245142594	2284.50245142594	1	1	4373.51823031437	218.488889514338	""	""	"23"
68.0445633339813	68.0443202093898	68.0448064585728	2288.48595156336	2282.96630576979	2294.00559735694	2	2	814.692183615407	299.910309369137	""	""	"90"
68.0461178918134	68.0461178918134	68.0461178918134	2385.56289042406	2385.56289042406	2385.56289042406	1	1	743.912019548588	202.21038222717	""	""	"6"
68.0455260519012	68.0455260519012	68.0455260519012	19.523458321281	19.523458321281	19.523458321281	1	1	1694.66555018609	437.28700288019	""	""	"75"
69.0295726969985	69.0295502056133	69.0295951883838	1114.68223206276	1113.78056248013	1115.58390164539	2	2	156.687814002487	100.791288900426	""	""	"1"
69.0417368460674	69.0417368460674	69.0417368460674	45.3184591128307	45.3184591128307	45.3184591128307	1	1	529.511480472587	98.2554210100212	""	""	"7"
69.0416518181362	69.0416518181362	69.0416518181362	2384.45990885668	2384.45990885668	2384.45990885668	1	1	597.399567958352	121.393658484446	""	""	"6"
70.0580685793023	70.0566889456027	70.0594482130018	2275.34265466979	2275.00725957741	2275.67804976216	2	2	186.641342117535	53.2966102475517	""	""	"16"
71.0485383437147	71.0485383437147	71.0485383437147	2276.12101926231	2276.12101926231	2276.12101926231	1	1	140.065547000631	33.5864522320899	""	""	"16"
71.081029892166	71.081029892166	71.081029892166	2206.74811418754	2206.74811418754	2206.74811418754	1	1	189.617530020878	29.7233717040026	""	""	"8"
71.0740876192404	71.0740876192404	71.0740876192404	2108.94280443725	2108.94280443725	2108.94280443725	1	1	153.948916220746	38.0594828182416	""	""	"27"
72.0531222822075	72.0531222822075	72.0531222822075	2273.88732033518	2273.88732033518	2273.88732033518	1	1	60.5995249362667	21.2651802310298	""	""	"16"
73.0186646399925	73.0145187603145	73.0228105196706	1115.23372198275	1114.88354232011	1115.58390164539	2	2	405.734245175138	66.3575627874065	""	""	"1"
77.0354484605453	77.0354484605453	77.0354484605453	150.337338662493	150.337338662493	150.337338662493	1	1	24.7972718195556	96.3197273097293	""	""	"18"
78.0305454216436	78.0303676034545	78.0307232398326	48.0135250664858	47.0994602038341	48.9275899291374	2	2	950.018692463795	375.877447851503	""	""	"7"
78.0308751927164	78.0305678792209	78.0311825062119	2293.4594490905	2291.80367301043	2295.11522517057	2	2	358.438582422761	183.67992968635	""	""	"10"
78.0309790741804	78.0306730450466	78.0312851033142	2383.71247558689	2383.36309397628	2384.06185719749	2	2	921.263895362515	189.729050342659	""	""	"6"
79.0287920827981	79.0268979463132	79.0306862192831	48.5656076370314	48.2036253449254	48.9275899291374	2	2	1371.48557039961	331.551865461714	""	""	"7"
79.0266010462472	79.0266010462472	79.0266010462472	2292.23485983012	2292.23485983012	2292.23485983012	1	1	658.08269350749	142.600886339353	""	""	"10"
79.0267379563209	79.0267379563209	79.0267379563209	2383.36309397628	2383.36309397628	2383.36309397628	1	1	2016.41917820756	422.976679676415	""	""	"6"
80.0405791542296	80.0405791542296	80.0405791542296	48.2036253449254	48.2036253449254	48.2036253449254	1	1	334.263601412278	187.975816165264	""	""	"7"
81.009168868258	81.009168868258	81.009168868258	1114.88354232011	1114.88354232011	1114.88354232011	1	1	64.101343705842	54.4129907349617	""	""	"1"
